Star Name, x, y, z, weight, profit 
1, 31, 73, 60, 91, 960
2, 161, 71, 66, 97, 96
3, 90, 393, 671, 69, 63
4, 39, 133, 93, 93, 36
5, 793, 30, 0, 77, 606
6, 363, 170, 67, 66, 60
7, 6, 31, 19, 13, 9
8, 60, 619, 997, 67, 639
9, 60, 907, 93, 77, 99
10, 667, 931, 71, 11, 96
11, 76, 66, 37, 71, 700
12, 736, 30, 19, 19, 796
13, 73, 103, 99, 96, 106
14, 906, 39, 97, 73, 97
15, 30, 77, 137, 93, 61
16, 69, 31, 37, 37, 797
17, 7, 799, 71, 71, 61
18, 99, 119, 100, 79, 6
19, 673, 379, 179, 67, 96
20, 31, 63, 919, 76, 61
