Star Name, x, y, z, weight, profit
1, 11, 6, 913, 96, 691
2, 30, 73, 7, 99, 909
3, 913, 311, 66, 99, 336
4, 67, 36, 90, 79, 906
5, 636, 97, 10, 91, 10
6, 90, 677, 766, 33, 91
7, 17, 76, 36, 79, 9
8, 717, 1, 93, 17, 71
9, 39, 60, 39, 96, 931
10, 90, 73, 37, 93, 77
11, 73, 10, 71, 91, 97
12, 373, 63, 33, 66, 70
13, 36, 171, 730, 36, 31
14, 77, 660, 19, 71, 911
15, 931, 3, 67, 11, 617
16, 939, 903, 613, 31, 79
17, 100, 90, 936, 39, 10
18, 90, 7, 179, 39, 30
19, 69, 71, 91, 91, 973
20, 11, 9, 797, 19, 31
